short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,45,390693993705462.06,10000000000.0,14.591836734693878,10.0,4.477892117239628e+20,1.7636909822721833,4.477892117239628e+20,20.651073626212213
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,46,494171336132383.8,10000000000.0,14.693877551020408,10.0,7.110000061656245e+20,2.230813739847612,7.110000061656245e+20,20.851869604495867
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,47,625055192527397.6,10000000000.0,14.795918367346939,10.0,1.1386280199723559e+21,2.821656396678725,1.1386280199723559e+21,21.05638186695985
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,48,790604321090770.1,10000000000.0,14.89795918367347,10.0,2.043034685099772e+21,3.568986813512201,2.043034685099772e+21,21.310275739818724
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,49,1000000000000000.0,10000000000.0,15.0,10.0,3.9738042529955295e+21,4.514251589958666,3.9738042529955295e+21,21.599206470237895
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,0,10000000000.0,14187266741.16599,10.0,10.151898734177216,3.899405103168837e-05,9.086219583176175e-05,0.00012985624686345014,-3.886537153365681
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,1,12648552168.552958,14187266741.16599,10.10204081632653,10.151898734177216,0.00015967399731835617,0.00011492752241273137,0.0002746015197310875,-3.5612970635704984
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,2,15998587196.060574,14187266741.16599,10.204081632653061,10.151898734177216,0.000653834211298702,0.0001453666762839972,0.0007992008875826992,-3.097344042459684
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,3,20235896477.251556,14187266741.16599,10.306122448979592,10.151898734177216,0.002677306239105831,0.00018386779885472883,0.00286117403796056,-2.5434557243593363
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,4,25595479226.99533,14187266741.16599,10.408163265306122,10.151898734177216,0.010962879015772045,0.00023256614459310395,0.01119544516036515,-1.9509586330499864
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,5,32374575428.1764,14187266741.16599,10.510204081632653,10.151898734177216,0.044889662275445906,0.00029416250125251063,0.04518382477669842,-1.3450170091591687
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,6,40949150623.80419,14187266741.16599,10.612244897959183,10.151898734177216,0.18380694377141132,0.00037207297431244055,0.18417901674572376,-0.7347598498755183
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,7,51794746792.31202,14187266741.16599,10.714285714285714,10.151898734177216,0.7526095449997517,0.0004706184426099568,0.7530801634423617,-0.12315879181039735
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,8,65512855685.954956,14187266741.16599,10.816326530612244,10.151898734177216,3.081539249770869,0.0005952641922835184,3.082134513963153,0.48885158876174223
