short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_nacl_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_reference_cm3_fs
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,6,168122848060.939,2.1902510719646564,1.5589825749162961e-52,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,7,205779856891.80368,1.9797294353497406,3.9747364027673495e-47,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,8,251871473692.03748,1.7894426293669443,8.623612622699384e-43,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,9,308286924765.2079,1.6174457310273798,1.694113170091488e-38,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,10,377338594911.2883,1.4619807586366766,3.074140397872211e-34,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,11,461856808614.461,1.3214587034498106,8.759718578792426e-31,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,12,565305840802.4338,1.1944432883998195,1.4250008406938073e-26,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,13,691925912284.4525,1.07963628789824,6.462928110529682e-23,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,14,846906990048.2278,0.9758642586608275,7.382851181116956e-20,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,15,1036601516229.5078,0.8820665459342227,2.4425914650617825e-16,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,16,1268784785195.9749,0.7972844425351056,1.790431720382193e-13,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,17,1552973641211.9841,0.7206513898962846,2.2283870380238038e-10,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,18,1900816559623.7793,0.6513841209645574,6.6222892050862e-08,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,19,2326571100408.512,0.5887746544217922,2.154929724865463e-05,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,20,2847688304192.5073,0.5321830584021293,0.005560948724337263,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,21,3485527984255.8506,0.4810309097431854,0.4922997801486954,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,22,4266234233270.6973,0.43479538191821304,59.66855176647063,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,23,5221807030482.533,0.3930039012219276,3170.651013766625,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,24,6391413872906.935,0.3552293165908273,148317.3552249949,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,25,7822995192339.04,0.3210855336887069,4421194.818735925,1.3430316504270257e-13
NaCl_LWIR,"NaCl, 9.2 $\mu$m",NaCl,LWIR,1,9.2,2000.0,2.63,,1235360021490.0415,1.4997611259883368,,8.5,1.0,0.9600305729511427,total_comparison,26,9575229361813.4,0.2902235686333094,108318612.08442967,1.3430316504270257e-13
