short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,point_index,I_wcm2,gamma_baf2_reference,Wtotal_peak_cm3_fs
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,29,17558101399787.162,1.9270846905759378,150598840138076.94
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,30,21490854068986.207,1.7418579701563064,698430702022804.5
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,31,26304484642061.562,1.5744347941917756,3197822859678938.0
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,32,32196296622896.055,1.4231039290415042,1.4362143094347284e+16
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,33,39407786555603.33,1.286318620704137,6.150079338029517e+16
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,34,48234542605984.18,1.1626807854326011,2.0099013626779898e+17
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,35,59038360277499.79,1.0509267199087646,2.9312415024966784e+17
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,36,72262071866799.61,0.9499141849215866,6.84311039182408e+20
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,37,88447697495972.39,0.8586107305308365,1.0533614773428599e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,38,108258661705121.53,0.7760831433878969,1.3015613051565071e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,39,132506986230112.27,0.7014879083545386,1.603207882181897e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,40,162186573556696.0,0.6340625869278474,1.961812159029469e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,41,198513945494021.47,0.5731180243500958,2.449757624381e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,42,242978106580613.12,0.5180313057523677,3.010269615815525e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,43,297401576149106.44,0.4682393893366272,3.889294191262671e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,44,364015090662616.4,0.4232333515209286,5.018848897070631e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,45,445549038259562.0,0.382553185227355,6.516595484232931e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,46,545345373271936.4,0.3457830981459352,8.739274403634271e+21
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,47,667494597925378.0,0.31254726291807705,1.1668329736121799e+22
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,48,817003425895741.2,0.282505975802073,1.4876841897534043e+22
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,total_comparison,49,1000000000000000.0,0.2553521845584059,2.3171787553307355e+22
