short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,point_index,I_wcm2,gamma_baf2_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,39,95409547634999.64,0.8266918559735734,4.5286466851298145e+18,1.1418670805694779e+21,1.1463865109142514e+21,7.198583433295682e+22
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,40,120679264063932.64,0.7350607800116296,6.152882204167502e+18,1.4485042163120868e+21,1.4546570985162544e+21,1.0974621040232267e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,41,152641796717523.66,0.6535861535432558,3.146064159704544e+19,1.8326350624475397e+21,1.864095704044585e+21,1.5440962450183027e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,42,193069772888324.56,0.5811422289415463,5.379102650863271e+19,2.3181925767710085e+21,2.371983603279641e+21,2.0911586791020264e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,43,244205309454865.47,0.5167280371963936,1.2233433921938871e+20,2.9322676301755266e+21,3.0285435726372384e+21,2.795321835253047e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,44,308884359647748.5,0.4594535573695072,3.281470475500433e+20,3.708947490293878e+21,3.9077653170500214e+21,3.729436752580142e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,45,390693993705462.06,0.40852741903622103,7.167094840189513e+20,4.69131566611653e+21,5.234045574889616e+21,4.9841761840037584e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,46,494171336132383.8,0.36324596779685847,1.3624828729828238e+21,5.933857730080983e+21,7.0305495028894e+21,6.702074061235704e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,47,625055192527397.6,0.3229835427740961,2.8377859991774943e+21,7.505486749204413e+21,1.0343272748381907e+22,9.242747754377735e+23
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,48,790604321090770.1,0.2871838317589951,5.650457715530807e+21,9.49336437929739e+21,1.4871861723966751e+22,1.2894956531864564e+24
BaF2_NIR,"BaF$_2$, 0.8 $\mu$m",BaF2,NIR,1,0.8,100.0,0.9441088245630304,,8869310249438.2,1.4703952174881585,,10.6,1.0,0.9637429121010729,361.0,226.6,429.7,component_scaling,49,1000000000000000.0,0.2553521845584059,1.1164048990577764e+22,1.2007738562729591e+22,2.3171787553307355e+22,1.8791297446044286e+24
