short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_nacl_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,15,339322177189.53296,12.6856109999631,3787743.496718473,3.0024245898485343e-07,3787743.4967185813,164736904.7103193
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,16,429193426012.8778,11.279529427050559,15488568.64867407,6.351080173299532e-06,15488568.648676371,673700005.609219
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,17,542867543932.3859,10.02929887224743,63310602.59204849,0.00013425005489270454,63310602.59209712,2754166937.130245
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,18,686648845004.2998,8.91764470489667,258662821.47093052,0.0028352450756306694,258662821.4719577,11254377422.803482
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,19,868511373751.352,7.929207025909607,1056156180.1332623,0.059809775784745466,1056156180.1549323,45963068926.218216
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,20,1098541141987.5573,7.050328437643533,4309109331.372954,1.2598695983875006,4309109331.829466,187580255987.3336
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,21,1389495494373.136,6.26886533750743,17563881753.82975,26.489850273753994,17563881763.42938,764841504653.3663
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,22,1757510624854.7966,5.574020127910105,71500411689.9207,555.6643921195667,71500411891.31621,3114964383703.023
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,23,2222996482526.191,4.956192024169524,290600435890.05194,11620.793223084505,290600440102.6785,12667469997513.213
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,24,2811768697974.237,4.406844398972655,1178626488302.1843,242083.51745944715,1178626576080.2212,51415407742846.39
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,25,3556480306223.121,3.9183868304640357,4767197473375.654,5017385.231207171,4767199293216.367,208164498780940.3
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,26,4498432668969.453,3.48407022420244,19210893574280.305,103283355.26611108,19210931051362.52,839977595851202.4
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,27,5689866029018.305,3.0978935598700272,77019969455470.36,2106260874.3202467,77020734151622.4,3373951712875976.5
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,28,7196856730011.528,2.7545209742381376,306469464173770.6,42377247853.29732,306484860931299.06,1.346405120888633e+16
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,29,9102981779915.227,2.449208034712512,1205067536647027.8,835291406514.3717,1205371267490120.8,5.32144241873671e+16
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,30,11513953993264.48,2.17773618476783,4636751914854560.0,15905346368218.307,4642534405481254.0,2.071928852561483e+17
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,31,14563484775012.443,1.936354455493945,1.7016929060708842e+16,283714332398868.3,1.7119377439764702e+16,7.882822355583379e+17
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,component_scaling,32,18420699693267.164,1.7217276378731736,5.374792841313486e+16,4267682544527880.5,5.523688876058504e+16,2.8633630398043474e+18
