short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,20,1098541141987.5573,10000000000.0,12.040816326530612,10.0,4310902569.092322,0.004959091096852339,4310902569.097281,9.634568207455702
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,21,1389495494373.136,10000000000.0,12.142857142857142,10.0,17571185216.487576,0.006272532244714333,17571185216.493847,10.244801056636035
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,22,1757510624854.7966,10000000000.0,12.244897959183675,10.0,71530113185.81726,0.007933845132620016,71530113185.8252,10.854488912251762
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,23,2222996482526.191,10000000000.0,12.346938775510203,10.0,290720994955.0167,0.01003516540571638,290720994955.0268,11.46347639628323
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,24,2811768697974.237,10000000000.0,12.448979591836736,10.0,1179114624193.3835,0.012693031315426206,1179114624193.3962,12.07155602582025
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,25,3556480306223.121,10000000000.0,12.551020408163264,10.0,4769167381281.37,0.01605484687702441,4769167381281.387,12.678442564935699
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,26,4498432668969.453,10000000000.0,12.653061224489797,10.0,19218807456078.742,0.02030705682821736,19218807456078.76,13.283726435813659
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,27,5689866029018.305,10000000000.0,12.755102040816327,10.0,77051558227400.73,0.025685486768147688,77051558227400.75,13.886781425957992
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,28,7196856730011.528,10000000000.0,12.857142857142858,10.0,306594317055809.3,0.032488421936159265,306594317055809.3,14.486564100635198
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,29,9102981779915.227,10000000000.0,12.959183673469388,10.0,1205552960204308.5,0.041093149973347086,1205552960204308.5,15.0811862937838
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,30,11513953993264.48,10000000000.0,13.061224489795919,10.0,4638578496798925.0,0.051976885120805116,4638578496798925.0,15.666384910386583
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,31,14563484775012.443,10000000000.0,13.16326530612245,10.0,1.7023262802500102e+16,0.06574323430093876,1.7023262802500102e+16,16.231042803769412
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,32,18420699693267.164,10000000000.0,13.26530612244898,10.0,5.376315272731022e+16,0.08315567287848241,5.376315272731022e+16,16.730484728273577
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,33,23299518105153.72,10000000000.0,13.36734693877551,10.0,2.030776084416159e+16,0.1051798866514609,2.030776084416159e+16,16.307662040261793
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,34,29470517025518.098,10000000000.0,13.46938775510204,10.0,9.150868140746675e+16,0.133037328339349,9.150868140746675e+16,16.961462297438132
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,35,37275937203149.38,10000000000.0,13.571428571428571,10.0,4.053173200727737e+17,0.1682729587865165,4.053173200727737e+17,17.607795162466868
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,36,47148663634573.9,10000000000.0,13.673469387755102,10.0,1.7594188098094856e+18,0.21284092977680158,1.7594188098094856e+18,18.245369230668068
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,37,59636233165946.37,10000000000.0,13.775510204081632,10.0,7.097265556887904e+18,0.26921296038851916,7.097265556887904e+18,18.8510910554379
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,38,75431200633546.08,10000000000.0,13.877551020408163,10.0,5.345541934669695e+18,0.34051541739247654,5.345541934669695e+18,18.727991740846154
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,39,95409547634999.64,10000000000.0,13.979591836734695,10.0,2.3585100519305433e+19,0.4307027021085343,2.3585100519305433e+19,19.37263773154151
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,40,120679264063932.64,10000000000.0,14.081632653061224,10.0,9.535026144173125e+19,0.5447765596756498,9.535026144173125e+19,19.979321888179566
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,41,152641796717523.66,10000000000.0,14.183673469387756,10.0,1.1111577209417163e+20,0.6890634735262288,1.1111577209417163e+20,20.045775708331583
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,42,193069772888324.56,10000000000.0,14.285714285714285,10.0,4.3406003936299595e+20,0.8715655292340777,4.3406003936299595e+20,20.637549805458654
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,43,244205309454865.47,10000000000.0,14.387755102040817,10.0,6.614882689266357e+20,1.1024042064829744,6.614882689266357e+20,20.820522146655637
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,44,308884359647748.5,10000000000.0,14.489795918367347,10.0,1.059211992371139e+21,1.3943817116532131,1.059211992371139e+21,21.024982889194497
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,45,390693993705462.06,10000000000.0,14.591836734693878,10.0,1.9022698397246604e+21,1.7636909822721833,1.9022698397246604e+21,21.27927212227082
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,46,494171336132383.8,10000000000.0,14.693877551020408,10.0,3.7043080828374625e+21,2.230813739847612,3.7043080828374625e+21,21.568707099260486
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,47,625055192527397.6,10000000000.0,14.795918367346939,10.0,7.666783594848424e+21,2.821656396678725,7.666783594848424e+21,21.884613204890567
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,48,790604321090770.1,10000000000.0,14.89795918367347,10.0,1.641398257950572e+22,3.568986813512201,1.641398257950572e+22,22.215213968161887
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,0,49,1000000000000000.0,10000000000.0,15.0,10.0,2.190720527602044e+22,4.514251589958666,2.190720527602044e+22,22.340586977715063
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,0,10000000000.0,14187266741.16599,10.0,10.151898734177216,0.002495422788453619,9.086219583176175e-05,0.002586284984285381,-2.587323621650778
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,1,12648552168.552958,14187266741.16599,10.10204081632653,10.151898734177216,0.010218118190013788,0.00011492752241273137,0.010333045712426518,-1.9857716493284054
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,2,15998587196.060574,14187266741.16599,10.204081632653061,10.151898734177216,0.04184011877077512,0.0001453666762839972,0.041985485447059115,-1.3769008210238225
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,3,20235896477.251556,14187266741.16599,10.306122448979592,10.151898734177216,0.17132030009648558,0.00018386779885472883,0.17150416789534031,-0.7657253212658007
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,4,25595479226.99533,14187266741.16599,10.408163265306122,10.151898734177216,0.70148286486881,0.00023256614459310395,0.7017154310134032,-0.15383897305037061
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,5,32374575428.1764,14187266741.16599,10.510204081632653,10.151898734177216,2.872206070848559,0.00029416250125251063,2.8725002333498115,0.4582600726405774
NaCl_NIR,"NaCl, 0.8 $\mu$m",NaCl,NIR,1,0.8,100.0,0.3922889852754974,,3685308967910.6084,1.5355957101938091,,8.5,1.0,0.9553815824783185,surface3d,1,6,40949150623.80419,14187266741.16599,10.612244897959183,10.151898734177216,11.759851540331985,0.00037207297431244055,11.760223613306296,1.0704155796569323
