short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,12,565305840802.4338,6.483310181300397,6.348184043846734e+18
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,13,691925912284.4525,5.8601500844877465,8.319859928542845e+18
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,14,846906990048.2278,5.296886629267164,1.0903804741242655e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,15,1036601516229.5078,4.787762695289707,1.4347586700777023e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,16,1268784785195.9749,4.327574522692627,1.8967558156158902e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,17,1552973641211.9841,3.911618524427526,2.513619304091979e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,18,1900816559623.7793,3.535643210859004,3.3173147465228743e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,19,2326571100408.512,3.1958057352545337,4.286439136052276e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,20,2847688304192.5073,2.8886326160168245,5.0989771216859685e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,21,3485527984255.8506,2.6109842342002123,5.122288892888883e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,22,4266234233270.6973,2.3600227434399232,5.138533790961877e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,23,5221807030482.533,2.133183064301342,7.089587397313416e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,24,6391413872906.935,1.9281466665822833,1.0064149286618535e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,25,7822995192339.04,1.742817871596975,1.4705357284172977e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,26,9575229361813.4,1.575302432227182,2.209382010554564e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,27,11719937834183.947,1.4238881718070528,3.395739219348997e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,28,14345028995850.922,1.2870274839515015,5.274718323792705e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,29,17558101399787.162,1.163321514458786,7.95755319358012e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,30,21490854068986.207,1.051505863610353,9.307894349409556e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,31,26304484642061.562,0.9504376627310502,9.428636262829127e+20
