short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_lidt_cm3_fs
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,13,691925912284.4525,5.851278170624245,2880442714463173.5,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,14,846906990048.2278,5.288867462310333,5296495371049147.0,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,15,1036601516229.5078,4.780514311268974,9776366923656748.0,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,16,1268784785195.9749,4.321022835816066,1.8207650731171856e+16,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,17,1552973641211.9841,3.9056965698503796,3.4711533494130172e+16,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,18,1900816559623.7793,3.5302904602354572,7.125520594749079e+16,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,19,2326571100408.512,3.190967478077006,5.26460010161835e+17,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,20,2847688304192.5073,2.884259400419422,1.2605771926196222e+19,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,21,3485527984255.8506,2.607031361510807,2.3334043838872457e+19,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,22,4266234233270.6973,2.3564498113146644,3.203825374297834e+19,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,23,5221807030482.533,2.1299535537719683,4.0675966830810685e+19,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,24,6391413872906.935,1.9252275687954539,5.0825532922110845e+19,3.809452679886997e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,25,7822995192339.04,1.7401793504305105,6.3658728196246086e+19,3.809452679886997e+16
