short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,39,95409547634999.64,0.49829281401991316,2.7717563581936026e+21,8.169063234950467e+20,3.5512631930306445e+21,3.0191549127264645e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,40,120679264063932.64,0.4430617066093075,3.4332957373571793e+21,1.0332682482493526e+21,4.466563985606532e+21,3.953484192315883e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,41,152641796717523.66,0.3939524519326229,6.188520443184577e+21,1.3069347576303722e+21,7.495455200814949e+21,6.061861132325505e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,42,193069772888324.56,0.35028649975516957,7.104645814244677e+21,1.653083255162571e+21,8.757729069407249e+21,7.880918457254325e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,43,244205309454865.47,0.31146051080223564,1.1979041125194514e+22,2.0909109883678166e+21,1.4058299883415438e+22,1.1878336289488157e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,44,308884359647748.5,0.27693802032619746,1.6123229927011223e+22,2.644699675659682e+21,1.8767929602670904e+22,1.5931683911529458e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,45,390693993705462.06,0.24624202568938594,2.080424060428643e+22,3.345162184776016e+21,2.414940278906245e+22,2.1871489349425254e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,46,494171336132383.8,0.21894839554421525,2.9723101498245183e+22,4.2311458427349615e+21,3.364590437128685e+22,3.056380811174546e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,47,625055192527397.6,0.19468000954417297,4.230766551899683e+22,5.351786893813291e+21,4.735576369442569e+22,4.260725132115793e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,48,790604321090770.1,0.17310154761314772,5.760528622409188e+22,6.769235573008147e+21,6.393733392018943e+22,5.905996367837978e+24
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,49,1000000000000000.0,0.15391485677561553,8.289857598883985e+22,8.562102929218627e+21,9.146067891805848e+22,8.209848465223036e+24
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,0,10000000000.0,48.672151314954476,8686955901.772352,2.2762247648858556,8686955902.725672,533987509605.63184
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,1,12648552168.552958,43.27729764348627,17578729424.790085,11.7895227912848,17578729429.727734,1080566027074.025
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,2,15998587196.060574,38.480413146386816,35571866935.152985,61.06271047990645,35571866960.72706,2186607973532.0552
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,3,20235896477.251556,34.215218522071645,71982175207.5033,316.2673583998985,71982175339.96138,4424760742423.708
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,4,25595479226.99533,30.422780910891493,145660625425.86578,1638.063336796653,145660626111.9146,8953806481215.025
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,5,32374575428.1764,27.0506996106148,294752824332.5702,8484.075173560734,294752827885.8485,18118590596945.71
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,6,40949150623.80419,24.052382047748612,596447200215.8629,43941.52841537138,596447218619.3593,36663979016233.54
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,7,51794746792.31202,21.386400000680474,1206934711270.7131,227584.0407792565,1206934806587.0957,74191280156319.45
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,8,65512855685.954956,19.01591717947612,2442264421183.8467,1178700.3105533423,2442264914845.9863,150128705391220.06
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,9,82864277285.4686,16.9081802531136,4941945312095.831,6104620.431860733,4941947868831.486,303788742341307.7
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,10,104811313415.46873,15.034066291598,9999966120746.127,31615942.519940395,9999979362146.906,614718307429704.4
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,11,132571136559.0111,13.367680369893243,20234532136197.277,163736050.255943,20234600712195.12,1243875455009520.2
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,12,167683293681.101,11.885997773702469,40943048350525.08,847954026.2117331,40943403489365.11,2516950607497560.0
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,13,212095088792.01926,10.568545863397864,82844064931153.75,4391334097.042573,82845904068970.8,5093021115116943.0
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,14,268269579527.97272,9.397121200364447,167620963293998.88,22741601175.83095,167630487212779.94,1.0305981475039206e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,15,339322177189.53296,8.355538027248334,339140977564346.0,117780967016.49498,339190295742312.3,2.085693123578156e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,16,429193426012.8778,7.4294046268218175,686140502514354.2,610157538692.928,686395894814461.6,4.2223074108787384e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,17,542867543932.3859,6.605924469380784,1388101862376623.5,3163310145313.295,1389424605816566.2,8.55510795807722e+16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,18,686648845004.2998,5.873719401097089,2808006748572224.5,16434299193269.555,2814861145554247.5,1.737380433930673e+17
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,19,868511373751.352,5.2226724302917,5679817510664124.0,85856348131042.88,5715389698092599.0,3.549523706851938e+17
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,20,1098541141987.5573,4.643787939382049,1.1487301801488758e+16,455203223256668.6,1.167265666543439e+16,7.367987749263771e+17
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,21,1389495494373.136,4.129067391030253,2.3229136990470804e+16,2515104961155389.5,2.423142615145472e+16,1.5981563185505874e+18
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,22,1757510624854.7966,3.671398811104644,4.696321857490802e+16,1.5802820712762374e+16,5.302506245020772e+16,3.9820503267109473e+18
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,23,2222996482526.191,3.2644585214235105,9.492105663413386e+16,2.0033574075551936e+17,2.0867836631480403e+17,2.051053466597281e+19
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,24,2811768697974.237,2.9026237645068473,1.9178087921514342e+17,1.1748266643279792e+19,1.180056895874292e+19,5.591261423827532e+20
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,25,3556480306223.121,2.580895013059014,3.8728040802532326e+17,2.3942407015973765e+19,2.4259599382003487e+19,1.337453607851569e+21
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,26,4498432668969.453,2.294826890719872,7.816740488024547e+17,3.3471881878746292e+19,3.4240673813099176e+19,2.233745126195227e+21
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,27,5689866029018.305,2.0404667496060718,1.576000083637271e+18,4.314962259734381e+19,4.472562268098109e+19,3.328887096725687e+21
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,28,7196856730011.528,1.8143000559584275,3.172910173800835e+18,5.479319294753878e+19,5.796610312133962e+19,4.7128190224266685e+21
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,29,9102981779915.227,1.6132018292805987,6.373187595442065e+18,6.938487009023542e+19,7.575805768567749e+19,6.508932503735061e+21
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.8514315784580773,2.31318550949987,6.8e-19,3.6,0.34,0.61749,component_scaling,30,11513953993264.48,1.4343934639959586,1.2754618772700262e+19,8.78009101761637e+19,1.0055552894886394e+20,8.904958722151364e+21
