short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,26,4498432668969.453,10000000000.0,12.653061224489797,10.0,2.1729788483711894e+19,3.0993371844969917,2.1729788483711894e+19,19.33705549894805
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,27,5689866029018.305,10000000000.0,12.755102040816327,10.0,2.5595595987082633e+19,3.9202128066046247,2.5595595987082633e+19,19.408165246442927
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,28,7196856730011.528,10000000000.0,12.857142857142858,10.0,9.244293427205941e+18,4.958501619616801,9.244293427205941e+18,18.96587372215907
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,29,9102981779915.227,10000000000.0,12.959183673469388,10.0,1.794967403101743e+19,6.271786641357744,1.794967403101743e+19,19.25405656612794
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,30,11513953993264.48,10000000000.0,13.061224489795919,10.0,3.4598944318498808e+19,7.932902052324695,3.4598944318498808e+19,19.539062847820375
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,31,14563484775012.443,10000000000.0,13.16326530612245,10.0,6.627954764750056e+19,10.033972545684975,6.627954764750056e+19,19.821379535733044
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,32,18420699693267.164,10000000000.0,13.26530612244898,10.0,1.260560017720178e+20,12.691522520192455,1.260560017720178e+20,20.100563528111767
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,33,23299518105153.72,10000000000.0,13.36734693877551,10.0,2.3732549687499525e+20,16.052938469501896,2.3732549687499525e+20,20.375344398804263
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,34,29470517025518.098,10000000000.0,13.46938775510204,10.0,4.356997381923659e+20,20.304642969006544,4.356997381923659e+20,20.6391872989726
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,surface3d,0,35,37275937203149.38,10000000000.0,13.571428571428571,10.0,7.154305741018701e+20,25.682433585732127,7.154305741018701e+20,20.854567495891235
