short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,transmission_factor,threshold_fluence,pulse_energy_uj,beam_diameter_a_um,beam_diameter_b_um,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,40,120679264063932.64,360547115425049.9,14.081632653061224,14.556962025316455,4.833200521965908e+18,58652207216.59759,4.833200580618115e+18,18.684234818984944
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,41,152641796717523.66,360547115425049.9,14.183673469387756,14.556962025316455,1.5234352958902338e+19,74186550277.99158,1.5234353033088887e+19,19.182824015491708
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,42,193069772888324.56,360547115425049.9,14.285714285714285,14.556962025316455,4.1621967997279674e+19,93835245139.61494,4.162196809111491e+19,19.619322611937665
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,43,244205309454865.47,360547115425049.9,14.387755102040817,14.556962025316455,1.1495376443620634e+20,118687999339.738,1.1495376455489434e+20,20.060523198299048
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,44,308884359647748.5,360547115425049.9,14.489795918367347,14.556962025316455,2.6633876765868936e+20,150123135142.9855,2.663387678088125e+20,20.425434386191203
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,45,390693993705462.06,360547115425049.9,14.591836734693878,14.556962025316455,6.120435207649642e+20,189884030656.2778,6.120435209548482e+20,20.786782304888245
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,46,494171336132383.8,360547115425049.9,14.693877551020408,14.556962025316455,1.384683258014768e+21,240175806773.1039,1.3846832582549438e+21,21.141350441325397
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,47,625055192527397.6,360547115425049.9,14.795918367346939,14.556962025316455,2.749211230567094e+21,303787622159.38995,2.7492112308708814e+21,21.43920810938779
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,48,790604321090770.1,360547115425049.9,14.89795918367347,14.556962025316455,5.49020023848016e+21,384247358704.3699,5.490200238864407e+21,21.739588184349547
BaF2_LWIR,"BaF$_2$, 9.2 $\mu$m",BaF2,LWIR,1,9.2,2000.0,4.57,,2146614181828.7034,1.411930517389365,,10.6,1.0,0.9708312143110066,"{'atomic_density_m3': 5.038950896902158e+28, 'binding_energy_ev_per_atom': 6.013333333333334, 'threshold_fluence_jm2': 73645.55267377541, 'threshold_fluence_jcm2': 7.364555267377542, 'F0_jcm2': 4.57, 'F0_over_Fth': 0.620539847157307}",,,,surface3d,30,49,1000000000000000.0,360547115425049.9,15.0,14.556962025316455,1.0173291530472737e+22,486017276220.09033,1.0173291530958754e+22,22.007461490037173
