short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,13,212095088792.01926,10.584570264533545,2.3428097941443638e+17,5.477326221677817e+17,6.60937708447706e+17,5.483260582209872e+19
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,14,268269579527.97272,9.41136944620466,3.7490918406976275e+17,1.3851984722433144e+18,1.649000037611078e+18,1.1917509884848446e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,15,339322177189.53296,8.368206988029096,5.998284721787096e+17,2.349186343027219e+18,2.883691105944686e+18,2.06393711918727e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,16,429193426012.8778,7.440669351551052,9.592693578350492e+17,3.365322846731883e+18,4.298573698361353e+18,3.206609173713164e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,17,542867543932.3859,6.615940604517782,1.5328066505107546e+18,4.483647929977278e+18,6.00911675778623e+18,4.721896665221586e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,18,686648845004.2998,5.88262534114392,2.4453721425601495e+18,5.791831684126525e+18,8.235131939909111e+18,6.763145685701503e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,19,868511373751.352,5.23059123001164,3.89041616735538e+18,7.389892154970229e+18,1.1280308322325608e+19,9.553389112009434e+20
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,20,1098541141987.5573,4.650829014066449,6.155458825850967e+18,9.382727378234892e+18,1.5538186204085862e+19,1.341372255439205e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,21,1389495494373.136,4.13532802830669,9.638697264169791e+18,1.1888167890493305e+19,2.1526865154663096e+19,1.8795881194438853e+21
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,22,1757510624854.7966,3.676965515175253,1.4776368794600385e+19,1.504893410357971e+19,2.9825302898180096e+19,2.628676393271988e+21
