short,density_index,intensity_index,log10_I_grid_wcm2,log10_ne_grid_cm3,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,5,21,12.142857142857142,10.759493670886076,18.984074959943335
ZnSe_NIR,5,22,12.244897959183675,10.759493670886076,19.169620416295725
ZnSe_NIR,5,23,12.346938775510203,10.759493670886076,19.33376017315848
ZnSe_NIR,5,24,12.448979591836736,10.759493670886076,19.425727241497995
ZnSe_NIR,5,25,12.551020408163264,10.759493670886076,18.947992622772727
ZnSe_NIR,5,26,12.653061224489797,10.759493670886076,19.23629031082471
ZnSe_NIR,5,27,12.755102040816327,10.759493670886076,19.521414049354085
ZnSe_NIR,5,28,12.857142857142858,10.759493670886076,19.80382693138453
ZnSe_NIR,5,29,12.959183673469388,10.759493670886076,20.08313699605162
ZnSe_NIR,5,30,13.061224489795919,10.759493670886076,20.358259678044192
ZnSe_NIR,5,31,13.16326530612245,10.759493670886076,20.623485950093666
ZnSe_NIR,5,32,13.26530612244898,10.759493670886076,20.84732513924996
ZnSe_NIR,5,33,13.36734693877551,10.759493670886076,20.70809637396196
ZnSe_NIR,5,34,13.46938775510204,10.759493670886076,20.994174420323013
ZnSe_NIR,5,35,13.571428571428571,10.759493670886076,21.27308207010296
ZnSe_NIR,5,36,13.673469387755102,10.759493670886076,21.425776795975747
ZnSe_NIR,5,37,13.775510204081632,10.759493670886076,21.517981913985956
ZnSe_NIR,5,38,13.877551020408163,10.759493670886076,21.781087110099563
ZnSe_NIR,5,39,13.979591836734695,10.759493670886076,21.83403334114827
ZnSe_NIR,5,40,14.081632653061224,10.759493670886076,22.07991583614232
ZnSe_NIR,5,41,14.183673469387756,10.759493670886076,22.190711518577015
ZnSe_NIR,5,42,14.285714285714285,10.759493670886076,22.30091601271979
ZnSe_NIR,5,43,14.387755102040817,10.759493670886076,22.432373667548262
ZnSe_NIR,5,44,14.489795918367347,10.759493670886076,22.578748241610146
ZnSe_NIR,5,45,14.591836734693878,10.759493670886076,22.73587942826645
ZnSe_NIR,5,46,14.693877551020408,10.759493670886076,22.901870129059404
ZnSe_NIR,5,47,14.795918367346939,10.759493670886076,23.071521770020645
ZnSe_NIR,5,48,14.89795918367347,10.759493670886076,23.17862398910172
ZnSe_NIR,5,49,15.0,10.759493670886076,23.30286950684805
ZnSe_NIR,6,0,10.0,10.91139240506329,14.715707091893954
