I_wm2,Wav_cm3_fs,Wpi_cm3_fs,diagnostic_only,ne_total_cm3,time_s
1.474467801691913e+16,0.07025164384931222,10403048341.88635,True,36321626687.09764,-8.309232480533925e-14
1.5203266695739018e+16,0.1060140766313837,12489761231.314236,True,43940804305.168495,-8.242491657397107e-14
1.5672246852955762e+16,0.15947885469076933,14972449756.035166,True,53081185512.17202,-8.175750834260289e-14
1.6151703816598164e+16,0.23915280905693917,17921592169.036686,True,64029964895.31665,-8.109010011123471e-14
1.6641717654966836e+16,0.357504039457298,21419291438.003876,True,77125162747.5453,-8.04226918798665e-14
1.7142362935441258e+16,0.5327455203013631,25561019958.526283,True,92763954028.77736,-7.975528364849832e-14
1.7653708482834896e+16,0.791393274006106,30457595334.306583,True,111412236820.12097,-7.908787541713014e-14
1.8175817137647508e+16,1.1719225622663394,36237412613.63152,True,133615603309.19522,-7.842046718576196e-14
1.870874551457553e+16,1.729974975430275,43048960314.972885,True,160011894907.337,-7.775305895439378e-14
1.9252543761651216e+16,2.54574803001924,51063649529.09957,True,191345538352.3593,-7.708565072302557e-14
1.9807255320391056e+16,3.734444908273168,60478987323.06987,True,228483882645.6219,-7.641824249165739e-14
2.037291668734403e+16,5.460999220219813,71522127560.65425,True,272435779837.06378,-7.57508342602892e-14
2.0949557177438276e+16,7.960749807406468,84453834056.10947,True,324372669782.453,-7.508342602892102e-14
2.1537198689534016e+16,11.56836642985883,99572892650.54259,True,385652456918.2232,-7.441601779755282e-14
2.213585547459782e+16,16.758174751015552,117221010292.74794,True,457846494831.80096,-7.374860956618464e-14
2.2745533906920932e+16,24.200171394395714,137788240463.8543,True,542770011765.00214,-7.308120133481646e-14
2.3366232258810464e+16,34.837554697550196,161718975245.62845,True,642516342877.7861,-7.241379310344825e-14
2.399794047918842e+16,49.99365000446209,189518544927.52634,True,759495365978.02,-7.174638487208007e-14
2.464063997653923e+16,71.51884146393006,221760466203.55862,True,896476553034.6044,-7.107897664071189e-14
2.5294303406649492e+16,101.99174899762556,259094379646.46408,True,1056637085642.1744,-7.04115684093437e-14
2.5958894465589012e+16,144.9936798752412,302254716178.24066,True,1243615514152.476,-6.974416017797552e-14
2.6634367688383776e+16,205.48168119070382,352070130592.3101,True,1461571450888.749,-6.907675194660734e-14
